,book_title,book_genre,book_rate,successfull_book,paperback,hardback,author,number_of_pages,book_length_mm,book_width_mm,book_depth_mm,book_weight_grams,publication_day,publication_month,publication_year,publisher,publication_city,publication_country,language,bestsellers_rank,price_nis
20,"Girl, Woman, Other : WINNER OF THE BOOKER PRIZE 2019",contemporary fiction,4.36,1,1,0,Bernardine Evaristo,464.0,198.0,129.0,28.0,321,5,Mar,2020,Penguin Books Ltd,London,United Kingdom,English,219,53.47
21,Seven Husbands of Evelyn Hugo : Tiktok made me buy it!,contemporary fiction,4.46,1,1,0,Taylor Jenkins Reid,400.0,198.0,130.0,24.0,282,14,Oct,2021,Simon & Schuster Ltd,London,United Kingdom,English,2,52.67
22,To Kill A Mockingbird : 60th Anniversary Edition,contemporary fiction,4.27,1,1,0,Harper Lee,320.0,165.0,110.0,19.0,165,29,Dec,2010,Cornerstone,London,United Kingdom,English,170,41.6
23,Me Before You : The international bestselling phenomenon,contemporary fiction,4.25,1,1,0,Jojo Moyes,528.0,198.0,129.0,31.0,362,4,Mar,2019,Penguin Books Ltd,London,United Kingdom,English,"4,865",56.26
24,The Alchemist,contemporary fiction,3.89,0,1,0,Paulo Coelho,182.0,168.0,106.0,13.0,104,1,Jun,2020,Harper,United States,United States,English,146,45.57
25,The Elegance of the Hedgehog,contemporary fiction,3.78,0,1,0,Muriel Barbery,320.0,198.0,129.0,22.86,226.8,28,May,2009,Gallic Books,London,United Kingdom,English,"4,036",53.47
26,The Husband's Secret : The multi-million copy bestseller that launched the author of HBO's Big Little Lies,contemporary fiction,3.95,0,1,0,Liane Moriarty,432.0,198.0,129.0,26.0,298,24,Sep,2013,Penguin Books Ltd,London,United Kingdom,English,"2,744",53.0
27,The Thursday Murder Club : The Record-Breaking Sunday Times Number One Bestseller,contemporary fiction,3.96,0,1,0,Richard Osman,400.0,198.0,129.0,24.0,267,13,May,2021,Penguin Books Ltd,London,United Kingdom,English,35,51.81
28,Circe : The No. 1 Bestseller from the author of The Song of Achilles,contemporary fiction,4.26,1,1,0,Madeline Miller,352.0,198.0,129.0,25.0,240,24,Apr,2019,Bloomsbury Publishing PLC,London,United Kingdom,English,112,55.2
29,The Hating Game : TikTok made me buy it! The perfect enemies to lovers romcom,contemporary fiction,4.08,1,1,0,Sally Thorne,384.0,198.0,126.0,26.0,260,7,Sep,2017,"Little, Brown Book Group",London,United Kingdom,English,15,45.64
30,The Art of War,contemporary fiction,3.97,0,1,0,Sun Tzu,112.0,178.0,111.0,7.0,70,14,Oct,2011,HarperCollins Publishers,London,United Kingdom,English,102,28.87
31,No Longer Human,contemporary fiction,4.14,1,1,0,Osamu Dazai,176.0,203.0,132.0,15.0,243,1,Jan,2020,New Directions Publishing Corporation,New York,United States,English,24,60.2
32,A Man Called Ove : The life-affirming bestseller that will brighten your day,contemporary fiction,4.35,1,1,0,Fredrik Backman,320.0,196.0,126.0,28.0,226,7,May,2015,Hodder & Stoughton,London,United Kingdom,English,170,44.93
33,The Beekeeper of Aleppo : The must-read million copy bestseller,contemporary fiction,4.2,1,1,0,Christy Lefteri,400.0,198.0,129.0,22.0,292,1,Apr,2020,Bonnier Books Ltd,United Kingdom,United Kingdom,English,328,45.51
34,Ready Player One,contemporary fiction,4.24,1,1,0,Ernest Cline,384.0,198.0,129.0,23.0,256,5,Apr,2012,Cornerstone,London,United Kingdom,English,"1,768",52.13
35,Conversations with Friends : from the internationally bestselling author of Normal People,contemporary fiction,3.83,0,1,0,Sally Rooney,336.0,198.0,129.0,20.0,279,1,Mar,2018,Faber & Faber,London,United Kingdom,English,82,51.02
36,The Help,contemporary fiction,4.46,1,1,0,Kathryn Stockett,464.0,198.0,129.0,28.0,319,13,May,2010,Penguin Books Ltd,London,United Kingdom,English,"24,117",53.43
37,The Spanish Love Deception : TikTok made me buy it! The Goodreads Choice Awards Debut of the Year,contemporary fiction,4.18,1,1,0,Elena Armas,480.0,198.0,130.0,29.0,336,28,Oct,2021,Simon & Schuster Ltd,London,United Kingdom,English,7,53.78
38,Fahrenheit 451,contemporary fiction,3.98,0,1,0,Ray Bradbury,158.0,172.0,103.0,15.0,91,23,May,2012,Simon & Schuster,United States,United States,English,882,37.29
39,The Catcher in the Rye,contemporary fiction,3.81,0,1,0,J. D. Salinger,224.0,170.18,104.14,20.32,113.4,18,Mar,2005,"Little, Brown & Company",New York,United States,English,532,44.55
40,Brave New World,contemporary fiction,3.99,0,1,0,Aldous Huxley,288.0,178.0,110.0,17.0,155,2,Sep,2004,Vintage Publishing,London,United Kingdom,English,489,48.76
41,The Travelling Cat Chronicles : The life-affirming one million copy bestseller,contemporary fiction,4.31,1,1,0,Hiro Arikawa,256.0,198.0,126.0,126.0,220,2,Nov,2017,Transworld Publishers Ltd,London,United Kingdom,English,"6,473",62.82
42,Little Fires Everywhere,contemporary fiction,4.09,1,1,0,Celeste Ng,400.0,200.0,131.0,25.0,331,22,May,2018,"Little, Brown Book Group",London,United Kingdom,English,"2,035",47.11
43,A Game of Thrones : Book 1 of A Song of Ice and Fire,contemporary fiction,4.44,1,1,0,George R. R. Martin,864.0,178.0,111.0,56.0,440,1,Mar,2009,HarperCollins Publishers,London,United Kingdom,English,"2,505",53.43
44,The Secret History : From the Pulitzer Prize-winning author of The Goldfinch,contemporary fiction,4.12,1,1,0,Donna Tartt,640.0,198.0,129.0,27.0,436,1,Jul,1995,Penguin Books Ltd,London,United Kingdom,English,50,55.85
45,Sister : The phenomenal Sunday Times and New York Times bestseller,contemporary fiction,3.78,0,1,0,Rosamund Lupton,384.0,203.0,138.0,25.0,296,2,Sep,2010,"Little, Brown Book Group",London,United Kingdom,English,"6,768",46.38
46,Never Let Me Go,contemporary fiction,3.83,0,1,0,Kazuo Ishiguro,282.0,198.0,126.0,18.0,235,1,Feb,2010,Faber & Faber,London,United Kingdom,English,169,49.76
47,Alchemist International Edition,contemporary fiction,3.89,0,1,0,Paulo Coelho,208.0,173.0,112.0,15.0,106,1,Oct,2006,HarperCollins Publishers Inc,New York,NY,English,"2,074",45.25
48,Room,contemporary fiction,4.06,1,1,0,Emma Donoghue,416.0,196.0,130.0,25.0,294,7,Jan,2011,Pan Macmillan,London,United Kingdom,English,191,46.4
49,The Girl Who Played With Fire,contemporary fiction,4.24,1,1,0,Stieg Larsson,608.0,198.0,132.0,38.0,390,9,Jul,2009,Quercus Publishing,London,United Kingdom,English,"39,609",78.72
50,The Goldfinch,contemporary fiction,3.92,0,1,0,Donna Tartt,912.0,197.0,126.0,48.0,589,4,Sep,2017,"Little, Brown Book Group",London,United Kingdom,English,515,56.82
51,The Dry : NOW A MAJOR FILM ON SKY,contemporary fiction,4.02,1,1,0,Jane Harper,432.0,200.0,133.0,28.0,339,1,Jun,2017,"Little, Brown Book Group",London,United Kingdom,English,"2,979",47.27
52,On Writing : A Memoir of the Craft: Twentieth Anniversary Edition with Contributions from Joe Hill and Owen King,contemporary fiction,4.31,1,1,0,Stephen King,416.0,197.0,137.0,25.0,266,1,Sep,2020,Hodder & Stoughton,Oxon,United Kingdom,English,803,50.63
53,Shantaram,contemporary fiction,4.23,1,1,0,Gregory David Roberts,944.0,196.0,128.0,44.0,642,1,Apr,2005,"Little, Brown Book Group",London,United Kingdom,English,"2,003",60.35
54,All the Light We Cannot See,contemporary fiction,4.32,1,1,0,Anthony Doerr,544.0,198.0,129.0,34.0,380,7,May,2015,HarperCollins Publishers,London,United Kingdom,English,"1,168",56.81
55,One Day,contemporary fiction,3.8,0,1,0,David Nicholls,448.0,197.0,138.0,29.0,302,11,Mar,2011,Hodder & Stoughton,London,United Kingdom,English,"22,964",46.51
56,Red Queen : Red Queen Book 1,contemporary fiction,4.03,1,1,0,Victoria Aveyard,416.0,196.0,128.0,30.0,291,16,Jul,2015,Orion Publishing Co,London,United Kingdom,English,352,46.28
57,The Flatshare,contemporary fiction,4.08,1,1,0,Beth O'Leary,432.0,196.0,128.0,24.0,300,11,May,2020,Quercus Publishing,London,United Kingdom,English,329,46.47
58,The Perks of Being a Wallflower,contemporary fiction,4.21,1,1,0,Stephen Chbosky,240.0,198.0,130.0,20.0,180,11,Jan,2013,Simon & Schuster Ltd,London,United Kingdom,English,439,47.39
59,Catching Fire,contemporary fiction,4.3,1,1,0,Suzanne Collins,448.0,201.0,151.0,29.0,310,7,Sep,2009,Scholastic,London,United Kingdom,English,"61,752",65.99
60,The Hate U Give,contemporary fiction,4.49,1,1,0,Angie Thomas,464.0,198.0,129.0,27.0,319,15,Jun,2017,Walker Books Ltd,London,United Kingdom,English,810,46.19
61,The Rosie Project,contemporary fiction,4.01,1,1,0,Graeme Simsion,352.0,198.0,129.0,25.0,323,2,Feb,2014,Penguin Books Ltd,London,United Kingdom,English,"61,908",53.51
62,Norwegian Wood,contemporary fiction,4.03,1,1,0,Haruki Murakami,400.0,198.0,129.0,24.0,277,4,Jul,2003,Vintage Publishing,London,United Kingdom,English,126,52.56
63,House of Leaves : The Remastered Full-Color Edition,contemporary fiction,4.05,1,1,0,Mark Z. Danielewski,736.0,233.0,176.0,35.0,"1,125",7,Mar,2000,Random House USA Inc,New York,United States,English,400,109.53
64,The Nightingale,contemporary fiction,4.58,1,1,0,Kristin Hannah,464.0,197.0,130.0,29.0,330,29,Jul,2015,Pan MacMillan,London,United Kingdom,English,366,37.84
65,Big Little Lies : The No.1 bestseller behind the award-winning TV series,contemporary fiction,4.28,1,1,0,Liane Moriarty,496.0,199.0,131.0,30.0,336,23,May,2018,Penguin Books Ltd,London,United Kingdom,English,"4,496",53.78
66,Hamnet : WINNER OF THE WOMEN'S PRIZE FOR FICTION 2020 - THE NO. 1 BESTSELLER,contemporary fiction,4.27,1,1,0,Maggie O'Farrell,352.0,197.0,139.0,24.0,270,15,Apr,2021,Headline Publishing Group,London,United Kingdom,English,97,45.85
67,Pachinko : The New York Times Bestseller,contemporary fiction,4.29,1,1,0,Min Jin Lee,560.0,198.0,129.0,43.0,390,10,Aug,2017,Head of Zeus,London,United Kingdom,English,360,57.08
68,The Hitchhiker's Guide to the Galaxy,contemporary fiction,4.22,1,1,0,Douglas Adams,224.0,174.0,105.0,14.0,113,1,Nov,1995,Random House USA Inc,New York,United States,English,"1,145",40.71
69,Mr Stink,contemporary fiction,4.21,1,1,0,David Walliams,272.0,198.0,129.0,20.0,250,1,Jun,2010,HarperCollins Publishers,London,United Kingdom,English,"88,311",45.86
70,Lord of the Flies,contemporary fiction,3.69,0,1,0,William Golding,224.0,192.0,106.0,15.0,136,15,Jul,2011,Penguin Putnam Inc,New York,NY,English,"4,888",47.58
71,The Girl on the Train : The multi-million-copy global phenomenon,contemporary fiction,3.94,0,1,0,Paula Hawkins,416.0,198.0,127.0,26.0,283,5,May,2016,Transworld Publishers Ltd,London,United Kingdom,English,"21,805",52.69
72,The Stranger,contemporary fiction,4.0,1,1,0,Albert Camus,144.0,202.0,131.0,10.0,136,9,Aug,2016,Random House USA Inc,New York,United States,English,485,50.01
73,The Bell Jar,contemporary fiction,4.02,1,1,0,Sylvia Plath,240.0,198.0,129.0,14.0,202,15,Aug,2011,FABER & FABER,London,United Kingdom,English,79,49.43
74,The Grownup,contemporary fiction,3.57,0,1,0,Gillian Flynn,96.0,196.0,128.0,12.0,91,5,Nov,2015,Orion Publishing Co,London,United Kingdom,English,"1,856",29.97
75,Milkman : WINNER OF THE MAN BOOKER PRIZE 2018,contemporary fiction,3.55,0,1,0,Anna Burns,368.0,198.0,129.0,22.0,304,1,Nov,2018,Faber & Faber,London,United Kingdom,English,"2,836",51.54
76,Ugly Love: A Novel,contemporary fiction,4.27,1,1,0,Colleen Hoover,336.0,210.0,136.0,24.0,276,5,Aug,2014,Simon & Schuster,United States,United States,English,499,65.44
77,The Vanishing Half : Shortlisted for the Women's Prize 2021,contemporary fiction,4.2,1,1,0,Brit Bennett,384.0,194.0,124.0,16.0,302,3,Jun,2021,"Little, Brown Book Group",London,United Kingdom,English,152,46.51
78,The Underground Railroad : Winner of the Pulitzer Prize for Fiction 2017,contemporary fiction,4.04,1,1,0,Colson Whitehead,400.0,196.0,127.0,26.0,320,29,Jun,2017,"Little, Brown Book Group",London,United Kingdom,English,"2,381",46.88
79,The Complete Poetry Of Edgar Allan Poe,contemporary fiction,4.3,1,1,0,Edgar Allan Poe,139.0,172.0,105.0,15.24,75,26,Nov,2009,Penguin Putnam Inc,New York,United States,English,"1,123",30.83
80,The Cuckoo's Calling,contemporary fiction,3.87,0,1,0,Robert Galbraith,384.0,198.0,126.0,36.0,386,13,Feb,2014,"Little, Brown Book Group",London,United Kingdom,English,"2,803",52.62
81,A Clash of Kings,contemporary fiction,4.4,1,1,0,George R.R. Martin,928.0,178.0,111.0,51.0,490,10,May,2011,HarperCollins Publishers,London,United Kingdom,English,"23,548",54.77
82,Gone Girl,contemporary fiction,4.1,1,1,0,Gillian Flynn,512.0,195.0,131.0,33.0,360,3,Jan,2013,Orion Publishing Co,London,United Kingdom,English,"21,063",49.65
83,A Clockwork Orange,contemporary fiction,3.99,0,1,0,Anthony Burgess,144.0,181.0,111.0,8.0,83,16,Jun,2011,Penguin Books Ltd,London,United Kingdom,English,"1,297",45.38
84,People We Meet on Vacation,contemporary fiction,4.07,1,1,0,Emily Henry,400.0,208.0,140.0,26.0,335,11,May,2021,Penguin Putnam Inc,United States,United States,English,407,53.58
85,The Paris Wife,contemporary fiction,3.81,0,1,0,Paula McLain,416.0,129.0,201.0,27.0,333,9,Jan,2012,"Little, Brown Book Group",London,United Kingdom,English,"14,234",47.15
86,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",contemporary fiction,4.24,1,1,0,Neil Gaiman,512.0,168.0,104.0,36.0,249,1,Dec,2006,HarperCollins Publishers Inc,New York,NY,English,414,48.44
87,The Help,contemporary fiction,4.46,1,1,0,Kathryn Stockett,464.0,181.0,111.0,28.0,251,14,May,2010,Penguin Books Ltd,London,United Kingdom,English,"23,343",46.3
88,The Night Circus,contemporary fiction,4.03,1,1,0,Erin Morgenstern,512.0,178.0,110.0,32.0,269,24,May,2012,Vintage Publishing,London,United Kingdom,English,"1,049",53.73
89,The Handmaid's Tale,contemporary fiction,4.12,1,1,0,Margaret Atwood,320.0,178.0,110.0,20.0,171,28,May,2018,Vintage Publishing,London,United Kingdom,English,"1,076",45.44
90,Fifty Shades Darker : The #1 Sunday Times bestseller,contemporary fiction,3.83,0,1,0,E L James,576.0,198.0,129.0,34.0,394,26,Apr,2012,Cornerstone,London,United Kingdom,English,"24,270",56.92
91,When God was a Rabbit : The Richard and Judy Bestseller,contemporary fiction,3.72,0,1,0,Sarah Winman,352.0,198.0,130.0,30.0,248,27,May,2011,Headline Publishing Group,London,United Kingdom,English,"6,845",47.82
92,My Brilliant Friend,contemporary fiction,3.98,0,1,0,Elena Ferrante,336.0,210.0,135.0,27.94,362,29,Jun,2015,Europa Editions,New York,United States,English,"4,307",67.34
93,Cloud Atlas,contemporary fiction,4.0,1,1,0,David Mitchell,544.0,197.0,138.0,35.0,376,21,Feb,2005,HODDER & STOUGHTON,London,United Kingdom,English,"4,779",52.41
94,Eleanor & Park,contemporary fiction,3.99,0,1,0,Rainbow Rowell,336.0,197.0,130.0,21.0,240,7,Jul,2014,Orion Publishing Co,London,United Kingdom,English,"6,475",42.79
95,The Catcher in the Rye,contemporary fiction,3.81,0,1,0,J. D. Salinger,240.0,181.0,111.0,15.0,134,21,Jun,2010,Penguin Books Ltd,London,United Kingdom,English,"2,030",41.21
96,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,contemporary fiction,4.77,1,1,0,Mo Xiang Tong Xiu,428.0,,,,,17,May,2022,"Seven Seas Entertainment, LLC",West Hollywood,United States,English,27,55.71
97,Norwegian Wood,contemporary fiction,4.03,1,1,0,Haruki Murakami,400.0,173.0,105.0,21.0,193,28,Apr,2011,Random House USA Inc,New York,United States,English,777,47.36
98,The Dressmaker,contemporary fiction,3.44,0,1,0,Rosalie Ham,304.0,198.0,130.0,19.0,249,5,Nov,2015,Profile Books Ltd,London,United Kingdom,English,"5,569",47.11
99,Of Mice and Men,contemporary fiction,3.88,0,1,0,Mr John Steinbeck,128.0,181.0,111.0,9.0,92,1,Mar,2007,Penguin Books Ltd,London,United Kingdom,English,"12,165",47.03
100,Wolf Hall : Winner of the Man Booker Prize,contemporary fiction,3.88,0,1,0,Hilary Mantel,688.0,198.0,129.0,42.0,480,30,May,2012,HarperCollins Publishers,London,United Kingdom,English,"7,506",61.86
101,Behind Closed Doors,contemporary fiction,3.96,0,1,0,B A Paris,352.0,198.0,126.0,26.0,310,11,Feb,2016,HarperCollins Publishers,London,United Kingdom,English,"1,832",53.49
102,If On A Winter's Night A Traveller,contemporary fiction,4.04,1,1,0,Italo Calvino,272.0,198.0,129.0,17.0,191,20,Feb,1992,Vintage Publishing,London,United Kingdom,English,"3,080",53.89
103,The Picture of Dorian Gray,contemporary fiction,4.1,1,1,0,Oscar Wilde,224.0,198.0,129.0,12.0,144,1,Aug,1997,Wordsworth Editions Ltd,Herts,United Kingdom,English,"1,119",30.82
104,The Lord of the Rings : Boxed Set,contemporary fiction,4.5,1,1,0,J. R. R. Tolkien,1216.0,178.0,111.0,105.0,950,1,Apr,2008,HarperCollins Publishers,London,United Kingdom,English,"1,966",95.6
105,The Curious Incident of the Dog in the Night-time,contemporary fiction,3.89,0,1,0,Mark Haddon,288.0,178.0,110.0,18.0,155,1,Aug,2004,Vintage Publishing,London,United Kingdom,English,"3,777",48.76
106,Harry Potter and the Deathly Hallows,contemporary fiction,4.62,1,1,0,J.K. Rowling,640.0,198.0,129.0,43.0,510,1,Sep,2014,Bloomsbury Publishing PLC,London,United Kingdom,English,892,59.56
107,Ulysses,contemporary fiction,3.73,0,1,0,James Joyce,736.0,198.0,129.0,37.0,451,15,Jan,2016,Wordsworth Editions Ltd,Herts,United Kingdom,English,"2,088",39.11
108,Slaughterhouse 5 : The Children's Crusade A Duty-Dance With Death,contemporary fiction,4.08,1,1,0,Kurt Vonnegut,192.0,198.0,129.0,12.0,158,21,Mar,1991,Vintage Publishing,London,United Kingdom,English,"2,475",50.1
109,After You,contemporary fiction,3.73,0,1,0,Jojo Moyes,448.0,198.0,129.0,25.0,289,30,Jun,2016,Penguin Books Ltd,London,United Kingdom,English,"10,322",52.81
110,Anna Karenina,contemporary fiction,4.07,1,1,0,Leo Tolstoy,848.0,198.0,129.0,42.0,519,1,Aug,1997,Wordsworth Editions Ltd,Herts,United Kingdom,English,"1,363",38.33
111,Slaughterhouse-Five,contemporary fiction,4.08,1,1,0,Kurt Vonnegut,224.0,174.0,105.0,14.0,113,1,Dec,1991,Bantam Doubleday Dell Publishing Group Inc,New York,United States,English,460,39.98
112,Brave New World,contemporary fiction,3.99,0,1,0,Aldous Huxley,288.0,198.0,129.0,17.0,202,7,Jun,2011,Vintage Publishing,London,United Kingdom,English,"1,311",54.11
113,The Song of Achilles,contemporary fiction,4.41,1,1,0,Madeline Miller,416.0,198.0,135.0,28.0,295,28,Aug,2012,ECCO Press,,,English,651,67.78
114,"Fifty Shades Trilogy : Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed 3-Volume Boxed Set Bundle",contemporary fiction,4.11,1,1,0,E L James,1664.0,206.0,135.0,79.0,"1,179",16,Jul,2012,VINTAGE BOOKS,Naperville,United States,English,612,132.59
115,Fifty Shades of Grey,contemporary fiction,3.66,0,1,0,E L James,514.0,201.0,127.0,25.0,372,29,Jun,2012,Vintage Books,Naperville,United States,English,601,72.78
116,The Hobbit : or There and Back Again,contemporary fiction,4.28,1,1,0,J. R. R. Tolkien,400.0,178.0,111.0,28.0,214,20,Mar,1991,HarperCollins Publishers,London,United Kingdom,English,"2,433",50.41
117,Stoner : A Novel,contemporary fiction,4.29,1,1,0,John Williams,320.0,198.0,129.0,19.0,223,12,Jun,2013,Vintage Publishing,London,United Kingdom,English,380,54.55
118,Diary of an Oxygen Thief,contemporary fiction,3.0,0,1,0,Anonymous,160.0,199.0,130.0,12.0,147,25,Aug,2016,"Little, Brown Book Group",London,United Kingdom,English,402,43.3
119,A Storm of Swords: Part 1 Steel and Snow,contemporary fiction,4.42,1,1,0,George R.R. Martin,688.0,178.0,111.0,40.0,340,9,Aug,2011,HarperCollins Publishers,London,United Kingdom,English,"11,646",50.75
120,Harry Potter and the Cursed Child - Parts One and Two : The Official Playscript of the Original West End Production,contemporary fiction,3.55,0,1,0,J.K. Rowling,352.0,196.0,126.0,26.0,278,7,May,2018,"Little, Brown Book Group",London,United Kingdom,English,692,46.01
121,The Ocean at the End of the Lane,contemporary fiction,4.0,1,1,0,Neil Gaiman,288.0,196.0,126.0,24.0,203,10,Apr,2014,Headline Publishing Group,London,United Kingdom,English,"1,635",44.46
122,Lolita,contemporary fiction,3.88,0,1,0,Vladimir Nabokov,368.0,181.0,111.0,22.0,201,16,Jun,2011,Penguin Books Ltd,London,United Kingdom,English,"1,037",50.99
123,A Dance With Dragons: Part 2 After the Feast,contemporary fiction,4.43,1,1,0,George R.R. Martin,592.0,198.0,129.0,37.0,420,18,Oct,2012,HarperCollins Publishers,London,United Kingdom,English,"89,202",60.87
124,The Luminaries (Man Booker Prize winner 2013),contemporary fiction,3.72,0,1,0,Eleanor Catton,848.0,198.0,129.0,63.0,557,3,Apr,2014,Granta Books,London,United Kingdom,English,"14,088",57.49
125,Nineteen Eighty-Four,contemporary fiction,4.19,1,1,0,George Orwell,384.0,198.0,129.0,21.0,281,1,Feb,2009,Penguin Books Ltd,London,United Kingdom,English,"3,744",52.64
126,Shuggie Bain : Winner of the Booker Prize 2020,contemporary fiction,4.34,1,1,0,Douglas Stuart,448.0,198.0,130.0,28.0,318,15,Apr,2021,Pan Macmillan,London,United Kingdom,English,321,46.9
127,Pride and Prejudice,contemporary fiction,4.27,1,1,0,Jane Austen,416.0,198.0,129.0,18.0,287,6,Dec,2012,Penguin Books Ltd,London,United Kingdom,English,300,46.44
128,"Beautiful World, Where Are You : from the internationally bestselling author of Normal People",contemporary fiction,3.74,0,1,0,Sally Rooney,352.0,216.0,135.0,25.0,390,7,Sep,2021,Faber & Faber,London,United Kingdom,English,655,71.15
129,The Unbearable Lightness of Being,contemporary fiction,4.1,1,1,0,Milan Kundera,320.0,178.0,111.0,19.0,179,19,Mar,2015,Faber & Faber,London,United Kingdom,English,"10,454",51.87
130,Murder on the Orient Express,contemporary fiction,4.19,1,1,0,Agatha Christie,240.0,178.0,111.0,18.0,160,1,Jan,2015,HarperCollins Publishers,London,United Kingdom,English,"1,564",43.53
131,The Girl on the Train,contemporary fiction,3.94,0,1,0,Paula Hawkins,416.0,178.0,110.0,25.0,220,5,May,2016,Transworld Publishers Ltd,London,United Kingdom,English,678,50.71
132,The Seven Husbands of Evelyn Hugo : A Novel,contemporary fiction,4.46,1,1,0,Taylor Jenkins Reid,400.0,210.0,135.0,28.0,308,31,May,2018,SIMON & SCHUSTER,New York,United States,English,"1,106",66.41
133,The Shining,contemporary fiction,4.24,1,1,0,Stephen King,688.0,173.0,105.0,28.0,312,7,Feb,2020,Random House USA Inc,New York,United States,English,"2,008",48.48
134,Americanah,contemporary fiction,4.3,1,1,0,Chimamanda Ngozi Adichie,400.0,198.0,129.0,31.0,350,1,Mar,2014,HarperCollins Publishers,London,United Kingdom,English,"6,919",59.42
