book_title,book_genre,book_rate,successfull_book,paperback,hardback,author,number_of_pages,book_length_mm,book_width_mm,book_depth_mm,book_weight_grams,publication_day,publication_month,publication_year,publisher,publication_city,publication_country,language,bestsellers_rank,price_nis
The Alchemist,1,3.89,0,1,0,Paulo Coelho,182.0,168.0,106.0,13.0,104.0,1,6,2020,Harper,United States,United States,1,146,45.57
The Elegance of the Hedgehog,1,3.78,0,1,0,Muriel Barbery,320.0,198.0,129.0,22.86,226.8,28,5,2009,Gallic Books,London,United Kingdom,1,4036,53.47
The Husband's Secret : The multi-million copy bestseller that launched the author of HBO's Big Little Lies,1,3.95,0,1,0,Liane Moriarty,432.0,198.0,129.0,26.0,298.0,24,9,2013,Penguin Books Ltd,London,United Kingdom,1,2744,53.0
The Thursday Murder Club : The Record-Breaking Sunday Times Number One Bestseller,1,3.96,0,1,0,Richard Osman,400.0,198.0,129.0,24.0,267.0,13,5,2021,Penguin Books Ltd,London,United Kingdom,1,35,51.81
Circe : The No. 1 Bestseller from the author of The Song of Achilles,1,4.26,1,1,0,Madeline Miller,352.0,198.0,129.0,25.0,240.0,24,4,2019,Bloomsbury Publishing PLC,London,United Kingdom,1,112,55.2
The Hating Game : TikTok made me buy it! The perfect enemies to lovers romcom,1,4.08,1,1,0,Sally Thorne,384.0,198.0,126.0,26.0,260.0,7,9,2017,"Little, Brown Book Group",London,United Kingdom,1,15,45.64
No Longer Human,1,4.14,1,1,0,Osamu Dazai,176.0,203.0,132.0,15.0,243.0,1,1,2020,New Directions Publishing Corporation,New York,United States,1,24,60.2
A Man Called Ove : The life-affirming bestseller that will brighten your day,1,4.35,1,1,0,Fredrik Backman,320.0,196.0,126.0,28.0,226.0,7,5,2015,Hodder & Stoughton,London,United Kingdom,1,170,44.93
The Beekeeper of Aleppo : The must-read million copy bestseller,1,4.2,1,1,0,Christy Lefteri,400.0,198.0,129.0,22.0,292.0,1,4,2020,Bonnier Books Ltd,United Kingdom,United Kingdom,1,328,45.51
Ready Player One,1,4.24,1,1,0,Ernest Cline,384.0,198.0,129.0,23.0,256.0,5,4,2012,Cornerstone,London,United Kingdom,1,1768,52.13
Conversations with Friends : from the internationally bestselling author of Normal People,1,3.83,0,1,0,Sally Rooney,336.0,198.0,129.0,20.0,279.0,1,3,2018,Faber & Faber,London,United Kingdom,1,82,51.02
The Help,1,4.46,1,1,0,Kathryn Stockett,464.0,198.0,129.0,28.0,319.0,13,5,2010,Penguin Books Ltd,London,United Kingdom,1,24117,53.43
The Spanish Love Deception : TikTok made me buy it! The Goodreads Choice Awards Debut of the Year,1,4.18,1,1,0,Elena Armas,480.0,198.0,130.0,29.0,336.0,28,10,2021,Simon & Schuster Ltd,London,United Kingdom,1,7,53.78
Fahrenheit 451,1,3.98,0,1,0,Ray Bradbury,158.0,172.0,103.0,15.0,91.0,23,5,2012,Simon & Schuster,United States,United States,1,882,37.29
The Catcher in the Rye,1,3.81,0,1,0,J. D. Salinger,224.0,170.18,104.14,20.32,113.4,18,3,2005,"Little, Brown & Company",New York,United States,1,532,44.55
Brave New World,1,3.99,0,1,0,Aldous Huxley,288.0,178.0,110.0,17.0,155.0,2,9,2004,Vintage Publishing,London,United Kingdom,1,489,48.76
Little Fires Everywhere,1,4.09,1,1,0,Celeste Ng,400.0,200.0,131.0,25.0,331.0,22,5,2018,"Little, Brown Book Group",London,United Kingdom,1,2035,47.11
Sister : The phenomenal Sunday Times and New York Times bestseller,1,3.78,0,1,0,Rosamund Lupton,384.0,203.0,138.0,25.0,296.0,2,9,2010,"Little, Brown Book Group",London,United Kingdom,1,6768,46.38
Never Let Me Go,1,3.83,0,1,0,Kazuo Ishiguro,282.0,198.0,126.0,18.0,235.0,1,2,2010,Faber & Faber,London,United Kingdom,1,169,49.76
Alchemist International Edition,1,3.89,0,1,0,Paulo Coelho,208.0,173.0,112.0,15.0,106.0,1,10,2006,HarperCollins Publishers Inc,New York,NY,1,2074,45.25
Room,1,4.06,1,1,0,Emma Donoghue,416.0,196.0,130.0,25.0,294.0,7,1,2011,Pan Macmillan,London,United Kingdom,1,191,46.4
The Girl Who Played With Fire,1,4.24,1,1,0,Stieg Larsson,608.0,198.0,132.0,38.0,390.0,9,7,2009,Quercus Publishing,London,United Kingdom,1,39609,78.72
The Dry : NOW A MAJOR FILM ON SKY,1,4.02,1,1,0,Jane Harper,432.0,200.0,133.0,28.0,339.0,1,6,2017,"Little, Brown Book Group",London,United Kingdom,1,2979,47.27
On Writing : A Memoir of the Craft: Twentieth Anniversary Edition with Contributions from Joe Hill and Owen King,1,4.31,1,1,0,Stephen King,416.0,197.0,137.0,25.0,266.0,1,9,2020,Hodder & Stoughton,Oxon,United Kingdom,1,803,50.63
All the Light We Cannot See,1,4.32,1,1,0,Anthony Doerr,544.0,198.0,129.0,34.0,380.0,7,5,2015,HarperCollins Publishers,London,United Kingdom,1,1168,56.81
One Day,1,3.8,0,1,0,David Nicholls,448.0,197.0,138.0,29.0,302.0,11,3,2011,Hodder & Stoughton,London,United Kingdom,1,22964,46.51
Red Queen : Red Queen Book 1,1,4.03,1,1,0,Victoria Aveyard,416.0,196.0,128.0,30.0,291.0,16,7,2015,Orion Publishing Co,London,United Kingdom,1,352,46.28
The Flatshare,1,4.08,1,1,0,Beth O'Leary,432.0,196.0,128.0,24.0,300.0,11,5,2020,Quercus Publishing,London,United Kingdom,1,329,46.47
The Perks of Being a Wallflower,1,4.21,1,1,0,Stephen Chbosky,240.0,198.0,130.0,20.0,180.0,11,1,2013,Simon & Schuster Ltd,London,United Kingdom,1,439,47.39
Catching Fire,1,4.3,1,1,0,Suzanne Collins,448.0,201.0,151.0,29.0,310.0,7,9,2009,Scholastic,London,United Kingdom,1,61752,65.99
The Hate U Give,1,4.49,1,1,0,Angie Thomas,464.0,198.0,129.0,27.0,319.0,15,6,2017,Walker Books Ltd,London,United Kingdom,1,810,46.19
The Rosie Project,1,4.01,1,1,0,Graeme Simsion,352.0,198.0,129.0,25.0,323.0,2,2,2014,Penguin Books Ltd,London,United Kingdom,1,61908,53.51
Norwegian Wood,1,4.03,1,1,0,Haruki Murakami,400.0,198.0,129.0,24.0,277.0,4,7,2003,Vintage Publishing,London,United Kingdom,1,126,52.56
The Nightingale,1,4.58,1,1,0,Kristin Hannah,464.0,197.0,130.0,29.0,330.0,29,7,2015,Pan MacMillan,London,United Kingdom,1,366,37.84
Big Little Lies : The No.1 bestseller behind the award-winning TV series,1,4.28,1,1,0,Liane Moriarty,496.0,199.0,131.0,30.0,336.0,23,5,2018,Penguin Books Ltd,London,United Kingdom,1,4496,53.78
Hamnet : WINNER OF THE WOMEN'S PRIZE FOR FICTION 2020 - THE NO. 1 BESTSELLER,1,4.27,1,1,0,Maggie O'Farrell,352.0,197.0,139.0,24.0,270.0,15,4,2021,Headline Publishing Group,London,United Kingdom,1,97,45.85
Pachinko : The New York Times Bestseller,1,4.29,1,1,0,Min Jin Lee,560.0,198.0,129.0,43.0,390.0,10,8,2017,Head of Zeus,London,United Kingdom,1,360,57.08
Mr Stink,1,4.21,1,1,0,David Walliams,272.0,198.0,129.0,20.0,250.0,1,6,2010,HarperCollins Publishers,London,United Kingdom,1,88311,45.86
Lord of the Flies,1,3.69,0,1,0,William Golding,224.0,192.0,106.0,15.0,136.0,15,7,2011,Penguin Putnam Inc,New York,NY,1,4888,47.58
The Girl on the Train : The multi-million-copy global phenomenon,1,3.94,0,1,0,Paula Hawkins,416.0,198.0,127.0,26.0,283.0,5,5,2016,Transworld Publishers Ltd,London,United Kingdom,1,21805,52.69
The Bell Jar,1,4.02,1,1,0,Sylvia Plath,240.0,198.0,129.0,14.0,202.0,15,8,2011,FABER & FABER,London,United Kingdom,1,79,49.43
The Grownup,1,3.57,0,1,0,Gillian Flynn,96.0,196.0,128.0,12.0,91.0,5,11,2015,Orion Publishing Co,London,United Kingdom,1,1856,29.97
Milkman : WINNER OF THE MAN BOOKER PRIZE 2018,1,3.55,0,1,0,Anna Burns,368.0,198.0,129.0,22.0,304.0,1,11,2018,Faber & Faber,London,United Kingdom,1,2836,51.54
Ugly Love: A Novel,1,4.27,1,1,0,Colleen Hoover,336.0,210.0,136.0,24.0,276.0,5,8,2014,Simon & Schuster,United States,United States,1,499,65.44
The Vanishing Half : Shortlisted for the Women's Prize 2021,1,4.2,1,1,0,Brit Bennett,384.0,194.0,124.0,16.0,302.0,3,6,2021,"Little, Brown Book Group",London,United Kingdom,1,152,46.51
The Underground Railroad : Winner of the Pulitzer Prize for Fiction 2017,1,4.04,1,1,0,Colson Whitehead,400.0,196.0,127.0,26.0,320.0,29,6,2017,"Little, Brown Book Group",London,United Kingdom,1,2381,46.88
The Complete Poetry Of Edgar Allan Poe,1,4.3,1,1,0,Edgar Allan Poe,139.0,172.0,105.0,15.24,75.0,26,11,2009,Penguin Putnam Inc,New York,United States,1,1123,30.83
The Cuckoo's Calling,1,3.87,0,1,0,Robert Galbraith,384.0,198.0,126.0,36.0,386.0,13,2,2014,"Little, Brown Book Group",London,United Kingdom,1,2803,52.62
Gone Girl,1,4.1,1,1,0,Gillian Flynn,512.0,195.0,131.0,33.0,360.0,3,1,2013,Orion Publishing Co,London,United Kingdom,1,21063,49.65
A Clockwork Orange,1,3.99,0,1,0,Anthony Burgess,144.0,181.0,111.0,8.0,83.0,16,6,2011,Penguin Books Ltd,London,United Kingdom,1,1297,45.38
People We Meet on Vacation,1,4.07,1,1,0,Emily Henry,400.0,208.0,140.0,26.0,335.0,11,5,2021,Penguin Putnam Inc,United States,United States,1,407,53.58
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",1,4.24,1,1,0,Neil Gaiman,512.0,168.0,104.0,36.0,249.0,1,12,2006,HarperCollins Publishers Inc,New York,NY,1,414,48.44
The Help,1,4.46,1,1,0,Kathryn Stockett,464.0,181.0,111.0,28.0,251.0,14,5,2010,Penguin Books Ltd,London,United Kingdom,1,23343,46.3
Fifty Shades Darker : The #1 Sunday Times bestseller,1,3.83,0,1,0,E L James,576.0,198.0,129.0,34.0,394.0,26,4,2012,Cornerstone,London,United Kingdom,1,24270,56.92
When God was a Rabbit : The Richard and Judy Bestseller,1,3.72,0,1,0,Sarah Winman,352.0,198.0,130.0,30.0,248.0,27,5,2011,Headline Publishing Group,London,United Kingdom,1,6845,47.82
My Brilliant Friend,1,3.98,0,1,0,Elena Ferrante,336.0,210.0,135.0,27.94,362.0,29,6,2015,Europa Editions,New York,United States,1,4307,67.34
Cloud Atlas,1,4.0,1,1,0,David Mitchell,544.0,197.0,138.0,35.0,376.0,21,2,2005,HODDER & STOUGHTON,London,United Kingdom,1,4779,52.41
Eleanor & Park,1,3.99,0,1,0,Rainbow Rowell,336.0,197.0,130.0,21.0,240.0,7,7,2014,Orion Publishing Co,London,United Kingdom,1,6475,42.79
The Catcher in the Rye,1,3.81,0,1,0,J. D. Salinger,240.0,181.0,111.0,15.0,134.0,21,6,2010,Penguin Books Ltd,London,United Kingdom,1,2030,41.21
Norwegian Wood,1,4.03,1,1,0,Haruki Murakami,400.0,173.0,105.0,21.0,193.0,28,4,2011,Random House USA Inc,New York,United States,1,777,47.36
The Dressmaker,1,3.44,0,1,0,Rosalie Ham,304.0,198.0,130.0,19.0,249.0,5,11,2015,Profile Books Ltd,London,United Kingdom,1,5569,47.11
Behind Closed Doors,1,3.96,0,1,0,B A Paris,352.0,198.0,126.0,26.0,310.0,11,2,2016,HarperCollins Publishers,London,United Kingdom,1,1832,53.49
The Picture of Dorian Gray,1,4.1,1,1,0,Oscar Wilde,224.0,198.0,129.0,12.0,144.0,1,8,1997,Wordsworth Editions Ltd,Herts,United Kingdom,1,1119,30.82
The Curious Incident of the Dog in the Night-time,1,3.89,0,1,0,Mark Haddon,288.0,178.0,110.0,18.0,155.0,1,8,2004,Vintage Publishing,London,United Kingdom,1,3777,48.76
After You,1,3.73,0,1,0,Jojo Moyes,448.0,198.0,129.0,25.0,289.0,30,6,2016,Penguin Books Ltd,London,United Kingdom,1,10322,52.81
Brave New World,1,3.99,0,1,0,Aldous Huxley,288.0,198.0,129.0,17.0,202.0,7,6,2011,Vintage Publishing,London,United Kingdom,1,1311,54.11
Fifty Shades of Grey,1,3.66,0,1,0,E L James,514.0,201.0,127.0,25.0,372.0,29,6,2012,Vintage Books,Naperville,United States,1,601,72.78
Stoner : A Novel,1,4.29,1,1,0,John Williams,320.0,198.0,129.0,19.0,223.0,12,6,2013,Vintage Publishing,London,United Kingdom,1,380,54.55
Harry Potter and the Cursed Child - Parts One and Two : The Official Playscript of the Original West End Production,1,3.55,0,1,0,J.K. Rowling,352.0,196.0,126.0,26.0,278.0,7,5,2018,"Little, Brown Book Group",London,United Kingdom,1,692,46.01
The Ocean at the End of the Lane,1,4.0,1,1,0,Neil Gaiman,288.0,196.0,126.0,24.0,203.0,10,4,2014,Headline Publishing Group,London,United Kingdom,1,1635,44.46
A Dance With Dragons: Part 2 After the Feast,1,4.43,1,1,0,George R.R. Martin,592.0,198.0,129.0,37.0,420.0,18,10,2012,HarperCollins Publishers,London,United Kingdom,1,89202,60.87
Shuggie Bain : Winner of the Booker Prize 2020,1,4.34,1,1,0,Douglas Stuart,448.0,198.0,130.0,28.0,318.0,15,4,2021,Pan Macmillan,London,United Kingdom,1,321,46.9
Pride and Prejudice,1,4.27,1,1,0,Jane Austen,416.0,198.0,129.0,18.0,287.0,6,12,2012,Penguin Books Ltd,London,United Kingdom,1,300,46.44
"Beautiful World, Where Are You : from the internationally bestselling author of Normal People",1,3.74,0,1,0,Sally Rooney,352.0,216.0,135.0,25.0,390.0,7,9,2021,Faber & Faber,London,United Kingdom,1,655,71.15
The Unbearable Lightness of Being,1,4.1,1,1,0,Milan Kundera,320.0,178.0,111.0,19.0,179.0,19,3,2015,Faber & Faber,London,United Kingdom,1,10454,51.87
Murder on the Orient Express,1,4.19,1,1,0,Agatha Christie,240.0,178.0,111.0,18.0,160.0,1,1,2015,HarperCollins Publishers,London,United Kingdom,1,1564,43.53
The Girl on the Train,1,3.94,0,1,0,Paula Hawkins,416.0,178.0,110.0,25.0,220.0,5,5,2016,Transworld Publishers Ltd,London,United Kingdom,1,678,50.71
The Seven Husbands of Evelyn Hugo : A Novel,1,4.46,1,1,0,Taylor Jenkins Reid,400.0,210.0,135.0,28.0,308.0,31,5,2018,SIMON & SCHUSTER,New York,United States,1,1106,66.41
Americanah,1,4.3,1,1,0,Chimamanda Ngozi Adichie,400.0,198.0,129.0,31.0,350.0,1,3,2014,HarperCollins Publishers,London,United Kingdom,1,6919,59.42
Ninth House : By the author of Shadow and Bone - now a Netflix Original Series,1,4.04,1,1,0,Leigh Bardugo,480.0,196.0,128.0,34.0,334.0,20,10,2020,Orion Publishing Co,London,United Kingdom,1,873,49.11
Burial Rites,1,4.0,1,1,0,Hannah Kent,384.0,197.0,130.0,24.0,274.0,27,2,2014,Pan Macmillan,London,United Kingdom,1,6436,48.42
Station Eleven,1,4.05,1,1,0,Emily St. John Mandel,384.0,197.0,130.0,22.0,250.0,8,1,2015,Pan Macmillan,London,United Kingdom,1,256,47.93
The Guest Cat,1,3.54,0,1,0,Takashi Hiraide,144.0,196.0,131.0,11.0,122.0,30,6,2015,Pan Macmillan,London,United Kingdom,1,6439,45.28
All Your Perfects : A Novel,1,4.31,1,1,0,Colleen Hoover,320.0,210.0,135.0,23.0,252.0,9,8,2018,Atria Books,New York,United States,1,37,47.18
Rivers of London : Book 1 in the #1 bestselling Rivers of London series,1,3.86,0,1,0,Ben Aaronovitch,432.0,196.0,128.0,28.0,300.0,8,9,2011,Orion Publishing Co,London,United Kingdom,1,569,37.22
My Year of Rest and Relaxation : TIKTOK MADE ME BUY IT!,1,3.72,0,1,0,Ottessa Moshfegh,304.0,198.0,129.0,18.0,213.0,2,5,2019,Vintage Publishing,London,United Kingdom,1,59,54.34
Stardust,1,4.09,1,1,0,Neil Gaiman,256.0,196.0,128.0,20.0,180.0,1,8,2020,Headline Publishing Group,London,United Kingdom,1,690,43.98
Less : Winner of the Pulitzer Prize for Fiction 2018,1,3.66,0,1,0,Andrew Sean Greer,272.0,196.0,127.0,17.0,206.0,6,6,2018,"Little, Brown Book Group",London,United Kingdom,1,488,44.52
The Power : WINNER OF THE WOMEN'S PRIZE FOR FICTION,1,3.79,0,1,0,Naomi Alderman,352.0,198.0,129.0,21.0,248.0,18,5,2017,Penguin Books Ltd,London,United Kingdom,1,21877,51.96
A Court of Thorns and Roses : The #1 bestselling series,1,4.18,1,1,0,Sarah J. Maas,448.0,198.0,129.0,30.0,315.0,5,6,2020,Bloomsbury Publishing PLC,London,United Kingdom,1,390,53.59
Man and His Symbols,1,4.17,1,1,0,C. G. Jung,432.0,175.0,104.0,25.0,215.0,1,6,1997,Bantam Doubleday Dell Publishing Group Inc,New York,United States,1,548,45.44
American Psycho,1,3.82,0,1,0,Bret Easton Ellis,416.0,198.0,130.0,26.0,302.0,8,1,2015,Pan Macmillan,London,United Kingdom,1,185,46.57
We Are All Completely Beside Ourselves : Shortlisted for the Booker Prize,1,3.7,0,1,0,Karen Joy Fowler,336.0,198.0,129.0,20.0,281.0,19,6,2014,Profile Books Ltd,London,United Kingdom,1,15927,47.78
The Five People You Meet In Heaven,1,3.95,0,1,0,Mitch Albom,240.0,196.0,128.0,17.0,216.0,14,9,2005,"Little, Brown Book Group",London,United Kingdom,1,1127,44.73
To Kill A Mockingbird,1,4.27,1,1,0,Harper Lee,320.0,178.0,110.0,19.0,165.0,27,6,2008,Cornerstone,London,United Kingdom,1,7363,42.88
Kafka on the Shore,1,4.13,1,1,0,Haruki Murakami,624.0,178.0,110.0,37.0,327.0,6,10,2005,Vintage Publishing,London,United Kingdom,1,572,68.19
The Great Gatsby (Collins Classics),1,3.93,0,1,0,F. Scott Fitzgerald,192.0,178.0,111.0,12.0,150.0,2,7,2013,HarperCollins Publishers,London,United Kingdom,1,3965,23.28
The Light Between Oceans : The heartrending Sunday Times bestseller and Richard and Judy pick,1,4.02,1,1,0,M L Stedman,464.0,198.0,127.0,29.0,315.0,9,5,2013,Transworld Publishers Ltd,London,United Kingdom,1,72314,53.35
The Silmarillion,1,3.95,0,1,0,J. R. R. Tolkien,480.0,178.0,111.0,29.0,260.0,1,8,2013,HarperCollins Publishers,London,United Kingdom,1,1713,51.66
All That I Am,1,3.8,0,1,0,Anna Funder,384.0,198.0,129.0,23.0,266.0,10,5,2012,Penguin Books Ltd,London,United Kingdom,1,70442,55.44
Glass Sword : Red Queen Book 2,1,3.84,0,1,0,Victoria Aveyard,464.0,198.0,128.0,36.0,316.0,28,7,2016,Orion Publishing Co,London,United Kingdom,1,630,39.49
The Shack : THE INTERNATIONAL BESTSELLER,1,3.79,0,1,0,Wm Paul Young,256.0,198.0,132.0,18.0,182.0,5,8,2008,John Murray Press,London (Londyn),United Kingdom,1,11664,56.56
I See You : The addictive Number One Sunday Times Bestseller,1,3.88,0,1,0,Clare Mackintosh,384.0,205.0,135.0,32.0,280.0,20,4,2017,"Little, Brown Book Group",London,United Kingdom,1,6572,47.99
The Bell Jar,1,4.03,1,1,0,Sylvia Plath,240.0,198.0,126.0,14.0,173.0,2,6,2005,Faber & Faber,London,United Kingdom,1,2017,48.83
Wuthering Heights,1,3.87,0,1,0,Emily Brontë,272.0,198.0,129.0,14.0,173.0,1,8,1997,Wordsworth Editions Ltd,Herts,United Kingdom,1,1351,31.42
It Happened One Summer : A Novel,1,4.13,1,1,0,Tessa Bailey,416.0,203.0,135.0,24.0,299.0,9,9,2021,HarperCollins Publishers Inc,New York,United States,1,38,63.85
Rebecca,1,4.23,1,1,0,Daphne Du Maurier,448.0,196.0,126.0,34.0,360.0,30,1,2003,"Little, Brown Book Group",London,United Kingdom,1,4193,49.65
His Bloody Project,1,3.92,0,1,0,Graeme Macrae Burnet,288.0,200.0,130.0,27.0,201.0,11,8,2016,Saraband,Glasgow,United Kingdom,1,14068,42.04
Tales from the Cafe : Before the Coffee Gets Cold,1,3.98,0,1,0,Toshikazu Kawaguchi,208.0,197.0,130.0,13.0,155.0,24,9,2020,Pan Macmillan,London,United Kingdom,1,419,43.53
Convenience Store Woman,1,3.73,0,1,0,Sayaka Murata,176.0,198.0,129.0,10.0,130.0,5,8,2019,Granta Books,London,United Kingdom,1,132,45.87
The Time Traveler's Wife,1,3.98,0,1,0,Audrey Niffenegger,528.0,198.0,129.0,31.0,362.0,1,3,2010,Vintage Publishing,London,United Kingdom,1,11977,59.36
Piranesi : WINNER OF THE WOMEN'S PRIZE 2021,1,4.28,1,1,0,Susanna Clarke,272.0,198.0,129.0,20.0,190.0,2,9,2021,Bloomsbury Publishing PLC,London,United Kingdom,1,74,51.01
Olive Kitteridge,1,3.83,0,1,0,Elizabeth Strout,352.0,198.0,130.0,27.0,292.0,9,6,2011,Simon & Schuster Ltd,London,United Kingdom,1,1047,52.87
The Silkworm : Cormoran Strike Book 2,1,4.04,1,1,0,Robert Galbraith,592.0,196.0,126.0,44.0,404.0,29,1,2015,"Little, Brown Book Group",London,United Kingdom,1,3539,52.99
The Nightingale,1,4.57,1,1,0,Kristin Hannah,464.0,197.0,130.0,28.0,330.0,5,10,2017,Pan Macmillan,London,United Kingdom,1,869,47.15
"The Martian : Stranded on Mars, one astronaut fights to survive",1,4.4,1,1,0,Andy Weir,384.0,198.0,126.0,24.0,260.0,15,9,2014,Cornerstone,London,United Kingdom,1,12125,52.21
The Course of Love : An unforgettable story of love and marriage from the author of bestselling novel Essays in Love,1,4.03,1,1,0,Alain De Botton,240.0,198.0,129.0,15.0,170.0,26,1,2017,Penguin Books Ltd,London,United Kingdom,1,1523,50.35
My Policeman : Soon to be a film starring Harry Styles and Emma Corrin,1,4.08,1,1,0,Bethan Roberts,352.0,198.0,129.0,22.0,245.0,1,4,2014,Vintage Publishing,London,United Kingdom,1,436,51.9
The House in the Cerulean Sea,1,4.47,1,1,0,TJ Klune,400.0,208.28,137.16,30.48,300.0,8,2,2021,St Martin's Press,New York,United States,1,2265,72.68
Perfume : The Story of a Murderer,1,4.02,1,1,0,Patrick Süskind,272.0,198.0,129.0,17.0,191.0,1,4,2010,Penguin Books Ltd,London,United Kingdom,1,1543,50.78
Daisy Jones and The Six : Tiktok made me buy it!,1,4.23,1,1,0,Taylor Jenkins Reid,432.0,198.0,129.0,26.0,287.0,9,1,2020,Cornerstone,London,United Kingdom,1,67,54.78
The Book Thief : Film tie-in,1,4.38,1,1,0,Markus Zusak,560.0,198.0,130.0,35.0,381.0,20,3,2014,Transworld Publishers Ltd,London,United Kingdom,1,970,56.65
"The Secret Life of Bees : The stunning multi-million bestselling novel about a young girl's journey; poignant, uplifting and unforgettable",1,4.07,1,1,0,Sue Monk Kidd,384.0,198.0,130.0,26.0,269.0,1,7,2020,Headline Publishing Group,London,United Kingdom,1,10916,45.82
Sophie's World : 20th Anniversary Edition,1,3.94,0,1,0,Jostein Gaarder,464.0,196.0,130.0,30.0,325.0,8,10,2015,Orion Publishing Co,London,United Kingdom,1,2288,46.98
The Vegetarian : A Novel,1,3.6,0,1,0,Han Kang,192.0,198.0,129.0,11.0,140.0,2,4,2016,Granta Books,London,United Kingdom,1,865,46.08
Klara and the Sun : The Times and Sunday Times Book of the Year,1,3.81,0,1,0,Kazuo Ishiguro,320.0,234.0,153.0,22.0,407.0,2,3,2021,Faber & Faber,London,United Kingdom,1,1050,77.06
What We Talk About When We Talk About Love,1,4.12,1,1,0,Raymond Carver,144.0,198.0,129.0,8.0,106.0,1,2,2010,Vintage Publishing,London,United Kingdom,1,1910,49.02
