,book_title,book_genre,book_rate,successfull_book,paperback,hardback,author,number_of_pages,book_length_mm,book_width_mm,book_depth_mm,book_weight_grams,publication_day,publication_month,publication_year,publisher,publication_city,publication_country,language,bestsellers_rank,price_nis
28,The Old Ways : A Journey on Foot,sport,4.15,1,1,0,Robert Macfarlane,448,198,129,27,356,30,May,2013,Penguin Books Ltd,United Kingdom,United Kingdom,English,"12,153",60.46
29,Moneyball : The Art of Winning an Unfair Game,sport,4.22,1,1,0,Michael Lewis,336,211,140,23,266,26,Jun,2014,WW Norton & Co,New York,United States,English,"11,029",66.39
30,"Finding Ultra, Revised and Updated Edition : Rejecting Middle Age, Becoming One of the World's Fittest Men, and Discovering Myself",sport,4,1,1,0,Rich Roll,400,203,132,23,289,31,May,2013,Random House USA Inc,New York,United States,English,"23,214",69.91
31,Bounce : The Myth of Talent and the Power of Practice,sport,4.07,1,1,0,Matthew Syed,272,198,129,19,220,28,Apr,2011,HarperCollins Publishers,London,United Kingdom,English,"22,519",54.79
32,I think therefore I play,sport,3.84,0,1,0,Andrea Pirlo,200,195.58,129.54,15.24,181.44,01,Oct,2015,BackPage Press Limited,Glasgow,United Kingdom,English,"37,498",53.69
33,"The New Encyclopedia of Modern Bodybuilding : The Bible of Bodybuilding, Fully Updated and Revised",sport,4.45,1,1,0,Arnold Schwarzenegger,832,276,216,43,"2,540",01,Jan,2000,SIMON & SCHUSTER,New York,United States,English,"73,761",203.22
34,"SAS Survival Guide : How to Survive in the Wild, on Land or Sea",sport,4.24,1,1,0,John 'Lofty' Wiseman,384,117,82,21,190,08,Jan,2016,HarperCollins Publishers,London,United Kingdom,English,"3,800",41.45
35,"The Champion's Mind : How Great Athletes Think, Train, and Thrive",sport,3.94,0,1,0,Jim Afremow,288,213,140,19,329,12,May,2015,Rodale Press Inc.,Emmaus,United States,English,"1,884",60.82
36,Golf is Not a Game of Perfect,sport,4.32,1,1,0,Dr. Bob Rotella,224,198,129,14.99,163,07,Jun,2004,Simon & Schuster,New York,United States,English,"6,995",45.34
37,Last Child in the Woods : Saving our Children from Nature-Deficit Disorder,sport,3.95,0,1,0,Richard Louv,400,198,129,29,343,01,Jun,2010,Atlantic Books,London,United Kingdom,English,"14,691",61.11
38,Eleven Rings,sport,4.16,1,1,0,Phil Jackson,384,198,126,24,260,12,Feb,2016,Ebury Publishing,London,United Kingdom,English,"2,363",58.48
39,What I Talk About When I Talk About Running,sport,3.86,0,1,0,Haruki Murakami,192,198,129,12,138,02,Apr,2009,Vintage Publishing,London,United Kingdom,English,"1,551",52.79
40,Rafa: My Story,sport,4.01,1,1,0,Rafael Nadal,320,196,127,21,246,07,Jun,2012,"Little, Brown Book Group",London,United Kingdom,English,"11,026",47.78
41,"The Oxygen Advantage : The simple, scientifically proven breathing technique that will revolutionise your health and fitness",sport,4.05,1,1,0,Patrick McKeown,384,232,152,30,471,15,Sep,2015,"Little, Brown Book Group",London,United Kingdom,English,"1,480",60.07
42,Jiu-jitsu University,sport,4.59,1,1,0,Kevin Howell,368,276,215,22.86,"1,258",31,Dec,2016,Victory Belt Publishing,Las Vegas,United States,English,"10,741",141.01
43,Bushcraft 101 : A Field Guide to the Art of Wilderness Survival,sport,4.09,1,1,0,Dave Canterbury,256,214,140,20,297,31,Oct,2014,Adams Media Corporation,United States,United States,English,"3,459",66.12
44,The World's Fittest Book : The Sunday Times Bestseller from the Strongman Swimmer,sport,4.16,1,1,0,Ross Edgley,320,234,188,20,967,10,Jul,2018,"Little, Brown Book Group",London,United Kingdom,English,"6,556",87.21
45,Trump: The Art of the Deal,sport,3.66,0,1,0,Donald J. Trump,384,203,131,20,295,30,Nov,2016,Random House USA Inc,New York,United States,English,"9,743",66.08
46,Eat and Run : My Unlikely Journey to Ultramarathon Greatness,sport,4.01,1,1,0,Scott Jurek,272,198,129,22,222,23,Aug,2013,Bloomsbury Publishing PLC,London,United Kingdom,English,"10,227",64.45
47,ALEX FERGUSON My Autobiography : The autobiography of the legendary Manchester United manager,sport,3.92,0,1,0,Alex Ferguson,448,197,130,29,358,15,Nov,2014,Hodder & Stoughton,London,United Kingdom,English,"4,942",57.40
48,Inverting the Pyramid : The History of Football Tactics,sport,4.15,1,1,0,Jonathan Wilson,512,198,130,36,387,28,Jun,2018,Orion Publishing Co,London,United Kingdom,English,"3,468",52.64
49,F2 World of Football : How to Play Like a Pro (Skills Book 1),sport,4.48,1,1,0,The F2,208,254,194,14,720,18,Nov,2016,Bonnier Books Ltd,Chichester,United Kingdom,English,"14,117",69.81
50,"The Secret Race : Inside the Hidden World of the Tour de France: Doping, Cover-ups, and Winning at All Costs",sport,4.36,1,1,0,Daniel Coyle,384,198,127,23,262,06,Jun,2013,Transworld Publishers Ltd,London,United Kingdom,English,"6,950",55.35
51,Michael Jordan : The Life,sport,4.31,1,1,0,Roland Lazenby,720,210,144,41,650,28,May,2015,"Little, Brown & Company",New York,United States,English,"11,733",87.53
52,Undisputed Truth : My Autobiography,sport,4.16,1,1,0,Mike Tyson,608,198,129,38,390,05,Jun,2014,HarperCollins Publishers,London,United Kingdom,English,"88,379",63.47
53,Tao of Jeet Kune Do,sport,4.36,1,1,0,Bruce Lee,245,274,211,18,816,01,Nov,2011,Black Belt Books,United States,United States,English,"7,267",133.43
54,80/20 Running : Run Stronger and Race Faster by Training Slower,sport,3.94,0,1,0,Matt Fitzgerald,272,229,151,15,263,26,Nov,2015,Penguin Books Ltd,London,United Kingdom,English,"11,327",67.08
55,The Walker's Guide to Outdoor Clues and Signs : Explore the great outdoors from your armchair,sport,3.75,0,1,0,Tristan Gooley,448,198,150,29,308,09,Jun,2015,Hodder & Stoughton,United Kingdom,United Kingdom,English,"59,271",47.20
56,"Prepper's Long-term Survival Guide : Food, Shelter, Security, Off-the-Grid Power and More Life-Saving Strategies for Self-Sufficient Living",sport,3.91,0,1,0,Jim Cobb,240,230,152,15.24,345,10,Apr,2014,Ulysses Press,Berkeley,CA,English,"2,236",64.22
57,"The New Rules of Lifting for Women : Lift Like a Man, Look Like a Goddess",sport,3.98,0,1,0,Alwyn Cosgrove,272,234,191,16,464,16,Jun,2011,Penguin Books Ltd,London,United Kingdom,English,"8,668",78.02
58,Champagne Football : John Delaney and the Betrayal of Irish Football: The Inside Story,sport,4.45,1,1,0,Mark Tighe,336,234,153,24,407,17,Sep,2020,Penguin Books Ltd,London,Ireland,English,"8,829",74.51
59,The Sports Gene : Inside the Science of Extraordinary Athletic Performance,sport,4.2,1,1,0,David Epstein,368,214,139,23,386,21,May,2014,Penguin Putnam Inc,New York,United States,English,"48,655",71.19
60,Lonely Planet New Zealand,sport,4.14,1,1,0,Lonely Planet,672,197,128,26,544,25,Nov,2016,Lonely Planet Global Limited,Dublin 8,Ireland,English,"9,264",174.32
61,What I Talk About When I Talk About Running : A Memoir,sport,3.86,0,1,0,Haruki Murakami,192,174,105,12,102,23,Sep,2009,Random House USA Inc,New York,United States,English,"3,695",43.65
62,What Doesn't Kill Us : the bestselling guide to transforming your body by unlocking your lost evolutionary strength,sport,4.11,1,1,0,Scott Carney,272,198,129,17,249,10,Jan,2019,Scribe Publications,London,United Kingdom,English,"5,694",53.38
63,Touching The Void,sport,4.2,1,1,0,Joe Simpson,224,197,128,15,181,27,Jan,1998,Vintage Publishing,London,United Kingdom,English,"86,466",56.84
64,Score Takes Care Of Itself,sport,4.24,1,1,0,Bill Walsh,288,213,140,19.56,254.01,29,Jun,2010,Penguin Putnam Inc,New York,United States,English,"17,051",64.86
65,The Real McCaw : The Autobiography,sport,4,1,1,0,Richie McCaw,272,234,166,17.78,566.99,06,Aug,2015,Aurum Press,London,United Kingdom,English,"41,575",74.41
66,The Wild Silence : The Sunday Times Bestseller 2021 from the author of The Salt Path,sport,4.07,1,1,0,Raynor Winn,288,198,129,17,208,27,May,2021,Penguin Books Ltd,London,United Kingdom,English,"2,056",54.24
67,A Hero Born : Legends of the Condor Heroes Vol. 1,sport,4.01,1,1,0,Jin Yong,416,196,126,32,280,18,Oct,2018,Quercus Publishing,London,United Kingdom,English,"38,780",50.42
68,"Eat Up, Raise Your Game : 100 easy, nutritious recipes to help you perform better on exercise days and rest days",sport,4.54,1,1,0,Daniel Davey,256,245,190,15,828,13,Sep,2019,Gill,Dublin,Ireland,English,"2,386",91.88
69,Bruce Lee Striking Thoughts : Bruce Lee's Wisdom for Daily Living,sport,4.3,1,1,0,Bruce Lee,256,191,127,17.78,340,28,Dec,2015,Tuttle Publishing,Boston,United States,English,"20,102",61.23
70,Wanderlust : A History of Walking,sport,3.92,0,1,0,Rebecca Solnit,336,198,129,24,317,01,May,2014,Granta Books,London,United Kingdom,English,"15,311",52.48
71,Leading : Lessons in leadership from the legendary Manchester United manager,sport,4.13,1,1,0,Alex Ferguson,416,196,126,34,340,21,May,2016,HODDER & STOUGHTON,London,United Kingdom,English,"4,461",58.97
72,Seven Years in Tibet,sport,4.05,1,1,0,Heinrich Harrer,336,198,129,21,240,17,Nov,1988,HarperCollins Publishers,London,United Kingdom,English,"11,127",55.20
73,Running with the Kenyans : Discovering the secrets of the fastest people on earth,sport,3.92,0,1,0,Adharanand Finn,320,198,126,19,260,04,Apr,2013,Faber & Faber,London,United Kingdom,English,"11,199",53.61
74,Zen in the Art of Archery : Training the Mind and Body to Become One,sport,3.96,0,1,0,Eugen Herrigel,112,198,129,6,85,29,Sep,1994,Penguin Books Ltd,London,United Kingdom,English,"6,346",51.69
75,A Pilgrim's Guide to the Camino De Santiago : St. Jean - Roncevalles - Santiago,sport,4.79,1,1,0,John Brierley,288,190,117,12.7,272.16,15,Jan,2019,Kaminn Media Ltd,Forres,United Kingdom,English,"36,496",102.85
76,Eleven Rings : The Soul of Success,sport,4.16,1,1,0,Phil Jackson,384,214,138,22,363,29,Apr,2014,Penguin Putnam Inc,New York,United States,English,"12,237",70.47
77,"The Push : A Climber's Journey of Endurance, Risk and Going Beyond Limits to Climb the Dawn Wall",sport,4.47,1,1,0,Tommy Caldwell,464,198,129,28,345,16,Jul,2018,Penguin Books Ltd,London,United Kingdom,English,"59,042",57.07
78,Winning Ugly,sport,4.15,1,1,0,Brad Gilbert,304,198,129,22,203,04,Jun,2007,Simon & Schuster Ltd,London,United Kingdom,English,"12,925",48.78
79,Body by Science,sport,4.09,1,1,0,John Little,304,229,193,13,522,16,Feb,2009,McGraw-Hill Education - Europe,London,United States,English,"24,858",77.15
80,How Bad Do You Want It? : Mastering the Psychology of Mind Over Muscle,sport,4.11,1,1,0,Matt Fitzgerald,320,216,135,30,379,01,Mar,2016,Aurum Press,London,United Kingdom,English,"4,293",65.02
81,Mountains Of The Mind : A History Of A Fascination,sport,4.1,1,1,0,Robert Macfarlane,320,198,129,19,226,09,Nov,2017,Granta Books,London,United Kingdom,English,"5,814",50.59
82,"""Soul Surfer: A True Story of Faith, Family, and Fighting to Get Back on the Board """,sport,4.07,1,1,0,Hamilton,240,192,128,20,202,22,Jan,2007,Simon & Schuster,New York,United States,English,"13,198",60.99
83,Lore of Running,sport,4.16,1,1,0,Timothy Noakes,944,254,178,48.77,"1,633",03,Dec,2002,Human Kinetics Publishers,Champaign,IL,English,"12,852",121.32
84,"Basketball (and Other Things) : A Collection of Questions Asked, Answered, Illustrated",sport,4.4,1,1,0,Shea Serrano,240,229,190,21,580,07,Nov,2017,ABRAMS,New York,United States,English,"13,013",69.93
85,"Chirunning : A Revolutionary Approach to Effortless, Injury-Free Running",sport,3.73,0,1,0,Danny Dreyer,320,231,155,23,522,05,May,2009,SIMON & SCHUSTER,New York,NY,English,"12,954",75.73
86,"SAS Survival Handbook, Third Edition : The Ultimate Guide to Surviving Anywhere",sport,4.24,1,1,0,John 'Lofty' Wiseman,672,208,135,33,"1,034",13,Dec,2014,William Morrow & Company,,,English,"24,980",102.29
87,Behind the Mask : My Autobiography - Winner of the Telegraph Sports Book of the Year,sport,4.1,1,1,0,Tyson Fury,320,198,129,20,259,21,Jan,2021,Cornerstone,London,United Kingdom,English,"4,054",52.19
88,The Rider,sport,4.24,1,1,0,Tim Krabbé,160,193,127,13,159,12,Jun,2003,Bloomsbury Publishing PLC,New York,United States,English,"13,339",57.36
89,Solitary Fitness - The Ultimate Workout From Britain's Most Notorious Prisoner,sport,3.64,0,1,0,Charles Bronson,304,199,131,19.56,226,09,Jul,2020,John Blake Publishing Ltd,London,United Kingdom,English,"14,658",44.14
90,"The Triathlete's Training Bible : The World's Most Comprehensive Training Guide, 4th Ed.",sport,4.15,1,1,0,Joe Friel,352,279,215,30,"1,088",15,Nov,2016,VeloPress,Boulder,United States,English,"13,769",120.87
91,100 Deadly Skills: Survival Edition : The SEAL Operative's Guide to Surviving in the Wild and Being Prepared for Any Disaster,sport,4.02,1,1,0,Clint Emerson,272,210,140,15,420,16,Nov,2016,Atria Books,New York,United States,English,"2,761",61.12
92,Play the Forest School Way : Woodland Games and Crafts for Adventurous Kids,sport,4.11,1,1,0,Jane Worroll,160,200,145,15,368,25,Jul,2016,Watkins Media,London,United Kingdom,English,"14,699",67.37
93,The Fear Bubble : Harness Fear and Live without Limits,sport,4.19,1,1,0,Ant Middleton,352,198,129,22,250,01,Sep,2020,HarperCollins Publishers,London,United Kingdom,English,"24,706",47.14
94,Sleep : Change the way you sleep with this 90 minute read,sport,3.84,0,1,0,Nick Littlehales,208,179,133,13,138,27,Oct,2016,Penguin Books Ltd,London,United Kingdom,English,"13,461",52.79
95,Lonely Planet Philippines,sport,3.94,0,1,0,Lonely Planet,480,197,128,19,385,22,Jun,2015,Lonely Planet Publications Ltd,Hawthorn,Victoria,English,"13,791",93.98
96,Wild : From Lost to Found on the Pacific Crest Trail,sport,4.02,1,1,0,Cheryl Strayed,336,203,132,18,255,01,Sep,2013,Random House USA Inc,New York,United States,English,"81,308",67.14
97,Guy Martin: My Autobiography,sport,4.07,1,1,0,Guy Martin,320,198,126,21,253,01,Aug,2015,Ebury Publishing,London,United Kingdom,English,"71,242",55.17
98,"Total Immersion : The Revolutionary Way To Swim Better, Faster, and Easier",sport,4.07,1,1,0,Terry Laughlin,320,235,187,18,624,21,Jun,2004,Simon & Schuster,New York,United States,English,"10,480",65.67
99,Lonely Planet Trekking in the Nepal Himalaya,sport,4.4,1,1,0,Lonely Planet,376,197,128,19,402,19,Jan,2016,Lonely Planet Publications Ltd,Hawthorn,Victoria,English,"16,199",72.31
100,The Mindful Athlete : Secrets to Peak Performance,sport,3.94,0,1,0,George Mumford,248,229,153,16,393,15,Mar,2016,Parallax Press,Berkeley,United States,English,"33,750",71.48
101,Arnold: the Education of a Bodybuilder,sport,4.19,1,1,0,Arnold Schwarzenegger,256,178,111,18,440,01,Feb,1993,SIMON & SCHUSTER,New York,United States,English,"74,067",72.85
102,Sacred Hoops (Revised) : Spiritual Lessons of a Hardwood Warrior,sport,4,1,1,0,Phil Jackson,240,208,138,18,210,11,Jul,2011,HYPERION,New York,United States,English,"59,876",48.70
103,Yoga The Spirit And Practice Of Moving Into Stillness,sport,4.29,1,1,0,Erich Schiffmann,384,235,187,23,755,02,Sep,1997,SIMON & SCHUSTER,New York,NY,English,"14,819",88.42
104,"Runner's World Run Less, Run Faster : Become a Faster, Stronger Runner with the Revolutionary 3-Run-a-Week Training Program",sport,3.96,0,1,0,Bill Pierce,320,229,152,20,437,10,Apr,2012,Rodale Incorporated,Pennsylvania,United States,English,"49,776",68.86
105,The Grade Cricketer,sport,4.2,1,1,0,Sam Perry,226,232,156,13,334,01,Nov,2015,Melbourne Books,VIC,Australia,English,"35,809",84.01
106,Take the Slow Road: Ireland : Inspirational Journeys Round Ireland by Camper Van and Motorhome,sport,3.75,0,1,0,Mr Martin Dorey,368,234,163,33.02,"1,025",14,Jul,2020,Bloomsbury Publishing PLC,London,United Kingdom,English,"14,575",107.28
107,Ultramarathon Man : Confessions of an All-Night Runner,sport,3.99,0,1,0,Dean Karnazes,304,199,149,21,249.48,26,Jul,2011,Penguin Putnam Inc,Los Angeles,United States,English,"15,321",64.01
108,How To Read Water : Clues & Patterns from Puddles to the Sea,sport,3.96,0,1,0,Tristan Gooley,384,196,131,25,296,06,Apr,2017,Hodder & Stoughton,London,United Kingdom,English,"18,128",46.63
109,Bodyweight Strength Training Anatomy,sport,4.11,1,1,0,Bret Contreras,224,254,178,10.16,567,12,Nov,2013,Human Kinetics Publishers,Champaign,IL,English,"58,958",82.99
110,The Rise of Superman : Decoding the Science of Ultimate Human Performance,sport,3.91,0,1,0,Steven Kotler,256,196,128,20,180,03,Sep,2015,Quercus Publishing,London,United Kingdom,English,"15,491",53.72
111,Rough Ride : Behind the Wheel with a Pro Cyclist,sport,4.08,1,1,0,Paul Kimmage,336,198,129,22,246,28,May,2008,Vintage Publishing,London,United Kingdom,English,"75,566",55.02
112,Waterlog,sport,4.32,1,1,0,Roger Deakin,352,198,129,26,303,29,Aug,2000,Vintage Publishing,London,United Kingdom,English,"12,315",61.13
113,The Strength Training Anatomy Workout,sport,4.25,1,1,0,Frederic Delavier,256,254,178,17.78,771.11,16,Mar,2011,Human Kinetics Publishers,Champaign,IL,English,"18,919",85.63
114,The Basketball Diaries : The Classic About Growing Up Hip on New York's Mean Streets,sport,3.96,0,1,0,Jim Carroll,224,196,130,12,181,22,Jul,2011,Penguin Putnam Inc,New York,NY,English,"86,324",62.62
115,My Story,sport,4.11,1,1,0,Steven Gerrard,496,198,129,31,376,01,Oct,2016,Penguin Books Ltd,London,United Kingdom,English,"10,870",59.65
116,Into Thin Air : A Personal Account of the Mt. Everest Disaster,sport,4.2,1,1,0,Jon Krakauer,368,203,132,21,266,19,Oct,1999,Bantam Doubleday Dell Publishing Group Inc,New York,United States,English,"16,088",65.11
117,"The Mixer: The Story of Premier League Tactics, from Route One to False Nines",sport,4.41,1,1,0,Michael Cox,496,198,129,31,350,04,Sep,2018,HarperCollins Publishers,London,United Kingdom,English,"25,321",64.29
118,The Second Half,sport,3.72,0,1,0,Roy Keane,320,196,128,24,275,05,Apr,2016,Orion Publishing Co,London,United Kingdom,English,"8,765",48.38
119,Running Like a Girl,sport,3.89,0,1,0,Alexandra Heminsley,240,198,129,15,170,16,Jan,2014,Cornerstone,London,United Kingdom,English,"75,476",53.45
120,The White Spider,sport,4.11,1,1,0,Heinrich Harrer,336,198,129,21,250,27,Feb,2012,HarperCollins Publishers,London,United Kingdom,English,"25,172",55.41
121,How I Became The Fittest Woman On Earth : My Story So Far,sport,4.05,1,1,0,Tia-Clair Toomey,200,210,148,11,245,22,Jan,2018,Bl Southwick Publishing Pty Ltd,,,English,"16,952",108.82
122,"Friday Night Lights : A Town, a Team, and a Dream",sport,4.13,1,1,0,H G Bissinger,416,198,129,26,287,01,Jun,2005,Vintage Publishing,London,United Kingdom,English,"82,799",59.04
123,Serve To Win : The 14-Day Gluten-free Plan for Physical and Mental Excellence,sport,3.83,0,1,0,Novak Djokovic,192,198,127,12,136,02,Jan,2014,Transworld Publishers Ltd,London,United Kingdom,English,"1,943",
124,Arthur : The dog who crossed the jungle to find a home *SOON TO BE A MAJOR MOVIE 'ARTHUR THE KING' STARRING MARK WAHLBERG*,sport,4.05,1,1,0,Mikael Lindnord,288,196,128,22,240,01,Feb,2017,John Murray Press,London,United Kingdom,English,"16,888",47.66
125,Cycling In Ireland : A guide to the best of Irish cycling,sport,5,1,1,0,David Flanagan,240,210,170,20,543,18,May,2018,Three Rock Books,Dublin,Ireland,English,"20,715",99.84
126,How to Be a Footballer,sport,4.13,1,1,0,Peter Crouch,304,198,126,20,219,01,Oct,2019,Ebury Publishing,London,United Kingdom,English,"42,183",54.47
127,Seven Deadly Sins : My Pursuit of Lance Armstrong,sport,4.01,1,1,0,David Walsh,464,198,130,29.97,336,06,Jun,2013,Simon & Schuster Ltd,London,United Kingdom,English,"57,172",56.89
128,Ready To Run : Unlocking Your Potential to Run Naturally,sport,4.26,1,1,0,Kelly Starrett,288,232,191,22.86,798,21,Oct,2014,Victory Belt Publishing,Auberry,United States,English,"17,292",113.71
129,The Big Book of Endurance Training and Racing,sport,4.04,1,1,0,Philip Maffetone,528,229,152,28,603,15,Feb,2017,Skyhorse Publishing,New York,NY,English,"17,367",95.66
130,"Endure : Mind, Body and the Curiously Elastic Limits of Human Performance",sport,4.15,1,1,0,Alex Hutchinson,320,198,129,20,220,07,Feb,2019,HarperCollins Publishers,London,United Kingdom,English,"12,521",54.79
131,The Backyard Adventurer : International Edition,sport,5,1,1,0,Beau Miles,290,229,152,17,426,13,Oct,2021,Brio Books,,,English,961,74.35
132,Once a Runner : A Novel,sport,4.07,1,1,0,John L. Parker,304,214,140,18,236,27,Aug,2015,Simon & Schuster,New York,United States,English,"19,475",49.46
133,The Kiwi Pair,sport,4.27,1,1,0,Eric Murray,272,233,152,28,396,26,Aug,2016,Penguin Group (NZ),Auckland,New Zealand,,"80,573",135.01
134,New Functional Training for Sports,sport,4.49,1,1,0,Michael Boyle,280,279,216,15.24,839.15,07,Jul,2016,Human Kinetics Publishers,Champaign,IL,English,"53,489",112.25
135,501 Excuses for a Bad Golf Shot,sport,3.17,0,1,0,Justin J Exner,144,152,150,9,155,01,Jun,2004,"Sourcebooks, Inc",Naperville,United States,English,"18,921",38.01
136,Lonely Planet New Zealand,sport,4.13,1,1,0,Lonely Planet,704,197,128,26,570,18,Sep,2018,Lonely Planet Global Limited,Dublin 8,Ireland,English,"18,393",102.89
137,"The Lost Art of Reading Nature's Signs : Use Outdoor Clues to Find Your Way, Predict the Weather, Locate Water, Track Animals--And Other Forgotten Skills",sport,3.75,0,1,0,Tristan Gooley,416,208,137,30,408,31,Jul,2015,EXPERIMENT,United States,United States,English,"17,087",75.78
138,The 50 Greatest Bike Rides of the World,sport,3.5,0,1,0,Sarah Woods,304,198,129,19,272,13,Jun,2017,Icon Books,Duxford,United Kingdom,English,"18,518",50.88
139,Training for Climbing : The Definitive Guide to Improving Your Performance,sport,4.18,1,1,0,Eric van der Horst,352,236,189,18,839,01,Oct,2016,Rowman & Littlefield,United States,United States,English,"18,376",113.77
140,9 Out of 10 Climbers Make the Same Mistakes : Navigation Through the Maze of Advice for the Self-coached Climber,sport,4.04,1,1,0,Dave MacLeod,176,229,152,9,244,01,Dec,2009,Rare Breed Productions,By Spean Bridge,United Kingdom,English,"20,336",87.69
